Concern Number,Concern Report Date,Pu Name,Concern Source,Part No,Part Name,Vendor Code,Vendor Name,Concern Description,Vehicle Model,Vehicle Variant,Concern Repeat,Concern Catergory,Concern Severity,Qty. Reported,Commodity,Concern Attribution,Initial Analysis & Reason for Attributio,SQA Officer,ICA Possible,Reason for ICA Not Possible,ICA Details at M&M,ICA Failure,Segregation Qty,OK Qty,Rejection(BLock)Qty (344 and 350 Mvt),Scarp Qty(951 and 551 Mvt),Rework Qty,Deviation Qty,Line Loss,Yard Hold,ESQA Entry Required,Justification for ESQA Not Required,ESQA Number,ESQA Posting Date,343 Posting Date 1,343 Posting Date 2,344 Document 1,344 Document 2,344 Document 3,344 Document 4,344 Document 5,344 Document 6,344 Document 7,350 Document 1,RWK Posting Date 1,RWK Posting Date 2,RWK Posting Date 3,RWK Posting Date 4,RWK Posting Date 5,RWK Posting Date 6,RWK Posting Date 7
28145,2024-07-23,W501B,BODYSHOP,0101EW503850N,PANEL ASSY FUEL BOX,DA049B,ANANDJI HARIDAS & CO. PVT LTD,Fuel Box Bump stopper  bracket 02 spot fail Out Of 02.,THAR ROXX,PAINT POOR TOUCH UP,N,Function,V1,1,BIW,VENDOR (CDMM),Fuel Box Bump stopper  bracket 02 spot fail Out Of 02.,24220795,Y,,100% Part Inspection.,N,0,0,128,0,0,0,N,N,Y,,2014124978.0,2024-07-26,,,1307827236.0,,,,,,,,,,,,,,
28149,2024-07-27,STCF,LSP,0109BW500271N,MIRROR ASSEMBLY ELECTRIC LH,DM089H,SMR AUTOMOTIVE SYSTEMS INDIA LTD,Rattle Noise From Orvm,THAR ROXX,PAINT POOR TOUCH UP,N,Fit,V1,1,Trims and EGS,VENDOR (CDMM),Excess Play In Head,97119,Y,,ICA started by Manually  checking,N,40,39,1,0,0,0,N,N,Y,,2014124938.0,2024-07-27,,,1307718276.0,,,,,,,,2024-07-27,,,,,,
28156,2024-07-23,W501B,BODYSHOP,0101EW504250N,LID ASSEMBLY FUEL FILLER,DA049B,ANANDJI HARIDAS & CO. PVT LTD,Fuel lid 7 spot broken out of 9,THAR ROXX,PAINT POOR TOUCH UP,N,Function,V1,1,BIW,VENDOR (CDMM),Fuel lid 7 spot broken out of 9,24220795,Y,,100% Part Inspection.,N,0,0,35,0,0,0,N,N,Y,,2014124990.0,2024-07-26,,,1307827332.0,,,,,,,,,,,,,,
28173,2024-07-26,STCF,LSP,2401AW500811A,SEAT ASSY FRT RH,DM203B,MSKH SEATING SYSTEMS INDIA (P) LTD,ventilation cushion fan not working,THAR ROXX,PAINT POOR TOUCH UP,N,Function,V1,1,Trims and EGS,VENDOR (CDMM),Ventilation cushion fan not working,97119,N,Defect Observed On Vehicle Level Only,,N,0,0,1,0,0,0,N,N,Y,,2014124967.0,2024-07-26,,,1307613657.0,,,,,,,,,,,,,,
28206,2024-07-26,STCF,LSP,2302GW500511N,NEW THAR BADGE ASSY,DE032A,Exotech Plastics,THAR ROXX Badge 'O' Orientation Wrong,THAR ROXX,PAINT - PEELING/CHIPPED/CRACKING,N,Finish,V2,1,Trims and EGS,VENDOR (CDMM),THAR ROXX Badge 'O' Orientation Wrong,97119,Y,,ICA started by visual checking,N,300,268,0,0,32,0,N,N,Y,,2014125043.0,2024-07-27,,,,,,,,,,,2024-07-27,,,,,,
28250,2024-07-27,STCF,LSP,0111JAP00301N,SWITCH POWER WINDOW SUB,DD013R,LS Automotive India Pvt Ltd,Window Switch Inoperative. UP Fuction Not Work.,THAR ROXX,PAINT POOR TOUCH UP,,Function,V1,1,E&E,UNDER ANALYSIS,Window Switch Inoperative. UP Fuction Not Work.,97119,N,Defect Observed On Vehicle Level Only,,N,0,0,1,0,0,0,N,N,N,For Analysis,,,,,1307862309.0,,,,,,,,,,,,,,
28254,2024-07-29,W501B,BODYSHOP,0102AW500880N,PANEL ASSY WHEEL HOUSE LH,DS040A,SHREE SHYAM PROCESSORS PVT LTD,ECU MTG Bracket Hole Position Shifted Causing Nut Mismatch.,THAR ROXX,PAINT - PEELING/CHIPPED/CRACKING,N,Fit,V2,1,BIW,VENDOR (CDMM),ECU MTG Bracket Hole Position Shifted Causing Nut Mismatch.,24220795,Y,,100% Part Inspection.,N,37,19,0,0,18,0,N,N,Y,,2014125039.0,2024-07-29,,,,,,,,,,,2024-07-30,,,,,,
28288,2024-07-29,STCF,LSP,2401AW500691A,SEAT ASSY FRT RH,DM203B,MSKH SEATING SYSTEMS INDIA (P) LTD,Seat Cusion Fouling To Consol,THAR ROXX,PAINT POOR TOUCH UP,N,Finish,V1,1,Trims and EGS,VENDOR (CDMM),Seat Cusion Fouling To Consol,97119,N,Defect Observed On Vehicle Level Only,,N,0,0,1,0,0,0,N,N,Y,,2014125092.0,2024-07-29,,,1307902745.0,,,,,,,,,,,,,,
28414,2024-07-30,STCF,LSP,0114CW500081N,LATCH ASSY HOOD,DS075C,SHIVANI LOCKS PVT. LTD.,Hood Not lock,THAR ROXX,PAINT - POOR FINISH,N,Function,V1+,1,Trims and EGS,VENDOR (SQA),Hood Latch Clamps Fouling With each Other,97119,Y,,ICA Started With Manually Checking,N,450,449,1,0,0,0,N,N,Y,,2014125158.0,2024-07-31,,,1308097222.0,,,,,,,,2024-07-31,,,,,,
28432,2024-07-30,W501B,BODYSHOP,0101EW506270N,SPEAKER BRKT 3 ASSY,DT037,TRIKAYA COATINGS PVT.LTD.,M6 Nut Welded In Wrong Position.,THAR ROXX,PAINT POOR TOUCH UP,N,Fit,V2,1,BIW,VENDOR (CDMM),M6 Nut Welded In Wrong Position.,24220795,Y,,100% Part Inspection.,N,550,549,1,0,0,0,N,N,Y,,2014125181.0,2024-07-31,,,1308993728.0,,,,,,,,2024-08-09,,,,,,
